Video;Base;Forms;FormsOrder;PigLitter;VideoName;Treatment;Timepoint;Categoria (Experient ou Student);Observers;Posture;Interaction;Activity;Attention;Miscellaneous;Lift.Pelvic.Limb;Scratching.Rubbing;Walk.Away.Run;Sit.With.Difficulty;Continuously.Balances;Bite.Grill;Head.Down;Difficulty.Overcoming;UPAPS;Analgesia
11;Stelio;2;1;20;Su’no 20 v’deo 1;NA;Post-castration;Student;S8;Posture.0;Interaction.0;Activity.2;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;2;0
12;Monique;2;2;312;103 yellow;C;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;0;0
13;Stelio;2;3;42;Su’no 42 v’deo 2;NA;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;0;0
14;Monique;2;4;803;68 orange;CF;Post-castration;Student;S8;Posture.1;Interaction.0;Activity.0;Attention.0;Miscelanneous.3;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.1;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.1;4;1
15;Stelio;2;5;45;Su’no 45 v’deo 1;NA;Post-castration;Student;S8;Posture.1;Interaction.0;Activity.0;Attention.3;Miscelanneous.1;Lift.Pelvic.Limb.1;Scratching.Rubbing.1;Walk.Away.Run.1;Sit.With.Difficulty.0;Continuously.Balances.1;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;5;1
16;Monique;2;6;607;61 green;CF;Post-castration;Student;S8;Posture.0;Interaction.1;Activity.1;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.1;3;0
17;Stelio;2;7;21;Su’no 21 v’deo 1;NA;Post-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.1;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;1;0
18;Monique;2;8;804;114 purple;C;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.1;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.1;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.1;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;2;0
19;Stelio;2;9;40;Su’no 40 V’deo 2;NA;Pre-castration;Student;S8;Posture.1;Interaction.0;Activity.0;Attention.1;Miscelanneous.2;Lift.Pelvic.Limb.1;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;4;1
20;Monique;2;10;901;118 green;C;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;2;0
21;Stelio;3;1;21;Su’no 21 v’deo 2;NA;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.1;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;1;0
22;Monique;3;2;103;145 green;CF;Pre-castration;Student;S8;Posture.0;Interaction.1;Activity.1;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.1;3;0
23;Stelio;3;3;25;Su’no 25 v’deo 4;NA;Post-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.1;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;1;0
24;Monique;3;4;210;149 green;CF;Pre-castration;Student;S8;Posture.1;Interaction.2;Activity.1;Attention.3;Miscelanneous.2;Lift.Pelvic.Limb.1;Scratching.Rubbing.1;Walk.Away.Run.1;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.1;9;1
25;Stelio;3;5;29;Su’no 29 v’deo 3;NA;Pre-castration;Student;S8;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;0;0
26;Monique;3;6;408;105 orange;C;Pre-castration;Student;S8;Posture.0;Interaction.2;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;2;0
27;Stelio;3;7;37;Su’no 37 v’deo 3;NA;Post-castration;Student;S8;Posture.2;Interaction.1;Activity.0;Attention.2;Miscelanneous.1;Lift.Pelvic.Limb.1;Scratching.Rubbing.0;Walk.Away.Run.1;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;6;1
28;Monique;3;8;804;18 purple;C;Post-castration;Student;S8;Posture.3;Interaction.2;Activity.3;Attention.1;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.1;11;1
29;Stelio;3;9;42;Su’no 42 v’deo 1;NA;Post-castration;Student;S8;Posture.0;Interaction.0;Activity.2;Attention.1;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;3;0
